"","sample_number","sample_name","samplename_sequencing_manifest","final_libary_names","dship_operation","niskin.bottle","description","Est_depth","Other_Depth_m","Bottle_Depth_m","Bottle_Temp","Bottle_Salinity","type","date_filtered","volume_filtered","rna_shield","filtered_by","field_box_cell","location_field","notes","sample_conc_ng.ul","extracted.by","extracted.on","final_storage_box_cell","sequencing_job","sequencing_run_plate_well","sequencing_notes","sequencing_job_2","sample_sequencing2_manifest2","sequencing2_run_plate_well","sequencing2_notes","libraryname_pro","libraryname_euk","proQC","eukQC"
"20191029_flowthrough__18S.exp.",1,"20191029_flowthrough","20191029_flowthrough_","20191029_flowthrough_","PS122/1_5-45 UWS_PS","","29.10.2019 06:00","11 m",11,NA,NA,NA,"FT_DNA","20191029","500","no","Jessie","1_1","JBCOLD_1","","0.579","emelia",20201109,"1_1","2012220-1","1_1_A1","","","","","","20191029_flowthrough__16S.exp.","20191029_flowthrough__18S.exp.",NA,NA
"20191030_flowthrough__18S.exp.",2,"20191030_flowthrough","20191030_flowthrough_","20191030_flowthrough_","PS122/1_5-43 UWS_PS","","30.10.2019 10:00","11 m",11,NA,NA,NA,"FT_DNA","20191030","500","no","Jessie","1_2","JBCOLD_1","noticable orangish-red material loaded onto filter","1.63","emelia",20201109,"1_2","2012220-1","1_1_A2","","","","","","20191030_flowthrough__16S.exp.","20191030_flowthrough__18S.exp.",NA,NA
"20191031_flowthrough__18S.exp.",3,"20191031_flowthrough","20191031_flowthrough_","20191031_flowthrough_","PS122/1_5-42 UWS_PS","","31.10.2019 08:00","11 m",11,NA,NA,NA,"FT_DNA","20191031","1000","no","Jessie","1_3","JBCOLD_1","","0.45","emelia",20201109,"1_3","2012220-1","1_1_A3","","","","","","20191031_flowthrough__16S.exp.","20191031_flowthrough__18S.exp.",NA,NA
"20191101_flowthrough__18S.exp.",4,"20191101_flowthrough","20191101_flowthrough_","20191101_flowthrough_","PS122/1_5-44 UWS_PS","","01.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191101","1000","no","Jessie","1_4","JBCOLD_1","","1.74","emelia",20201109,"1_4","2012220-1","1_1_A4","","","","","","20191101_flowthrough__16S.exp.","20191101_flowthrough__18S.exp.",NA,NA
"20191102_CTD_160m__18S.exp.",5,"20191102_CTD_160m","20191102_CTD_160m_","20191102_CTD_160m_","PS122/1_5-59 CTD_SBE9plus_935","3","","cold halocline",NA,161.284,0.8593,34.7619,"CTD","20191102","400","no","Jessie","1_5","JBCOLD_1","","0.304","emelia",20201109,"1_5","2012220-1","1_1_A5","","","","","","20191102_CTD_160m__16S.exp.","20191102_CTD_160m__18S.exp.",NA,NA
"20191102_CTD_50m__18S.exp.",6,"20191102_CTD_50m","20191102_CTD_50m_","20191102_CTD_50m_","PS122/1_5-59 CTD_SBE9plus_935","5","","PSW",NA,50.069,-1.7328,34.0674,"CTD","20191102","600","no","Jessie","1_6","JBCOLD_1","","0.621","emelia",20201109,"1_6","2012220-1","1_1_A6","","","","","","20191102_CTD_50m__16S.exp.","20191102_CTD_50m__18S.exp.",NA,NA
"20191102_CTD_100m__18S.exp.",7,"20191102_CTD_100m","20191102_CTD_100m_","20191102_CTD_100m_","PS122/1_5-59 CTD_SBE9plus_935","4","","cold halocline",NA,100.561,-1.065,34.428,"CTD","20191102","600","no","Jessie","1_7","JBCOLD_1","","0.327","emelia",20201109,"1_7","2012220-1","1_1_A7","","","","","","20191102_CTD_100m__16S.exp.","20191102_CTD_100m__18S.exp.",NA,NA
"20191102_CTD_260m__18S.exp.",8,"20191102_CTD_260m","20191102_CTD_260m_","20191102_CTD_260m_","PS122/1_5-59 CTD_SBE9plus_935","1","","Atlantic water",NA,263.543,1.3785,34.8846,"CTD","20191102","600","no","Jessie","1_8","JBCOLD_1","","0.484","emelia",20201109,"1_8","2012220-1","1_1_A8","","","","","","20191102_CTD_260m__16S.exp.","20191102_CTD_260m__18S.exp.",NA,NA
"20191102_CTD_20m__18S.exp.",9,"20191102_CTD_20m","20191102_CTD_20m_","20191102_CTD_20m_","PS122/1_5-59 CTD_SBE9plus_935","6","","chlmax",NA,20.084,-1.7807,32.626,"CTD","20191102","600","no","Jessie","1_9","JBCOLD_1","","0.898","emelia",20201109,"1_9","2012220-1","1_1_A9","","","","","","20191102_CTD_20m__16S.exp.","20191102_CTD_20m__18S.exp.",NA,NA
"20191102_flowthrough__18S.exp.",10,"20191102_flowthrough","20191102_flowthrough_","20191102_flowthrough_","PS122/1_5-86 UWS_PS","","02.11.2019 08:00","11 m",11,NA,NA,NA,"FT_DNA","20191102","1000","no","Jessie","1_10","JBCOLD_1","","2.77","emelia",20201109,"1_10","2012220-1","1_1_A10","","","","","","20191102_flowthrough__16S.exp.","20191102_flowthrough__18S.exp.",NA,NA
"20191103_flowthrough__18S.exp.",11,"20191103_flowthrough","20191103_flowthrough_","20191103_flowthrough_","PS122/1_5-87 UWS_PS","","03.11.2019 06:00","11 m",11,NA,NA,NA,"FT_DNA","20191103","1000","no","Jessie","1_11","JBCOLD_1","","1.21","emelia",20201109,"1_11","2012220-1","1_1_A11","","","","","","20191103_flowthrough__16S.exp.","20191103_flowthrough__18S.exp.",NA,NA
"20191104_flowthrough__18S.exp.",12,"20191104_flowthrough","20191104_flowthrough_","20191104_flowthrough_","PS122/1_6-88 UWS_PS","","04.11.2019 10:00","11 m",11,NA,NA,NA,"FT_DNA","20191104","1000","no","Jessie","1_12","JBCOLD_1","","0.609","emelia",20201109,"1_12","2012220-1","1_1_A12","","","","","","20191104_flowthrough__16S.exp.","20191104_flowthrough__18S.exp.",NA,NA
"20191105_flowthough__18S.exp.",13,"20191105_flowthough","20191105_flowthough_","20191105_flowthough_","PS122/1_6-89 UWS_PS","","05.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191105","1000","no","Jessie","1_13","JBCOLD_1","","1.56","emelia",20201109,"1_13","2012220-1","1_1_B1","","","","","","20191105_flowthough__16S.exp.","20191105_flowthough__18S.exp.",NA,NA
"20191106_flowthrough__18S.exp.",14,"20191106_flowthrough","20191106_flowthrough_","20191106_flowthrough_","PS122/1_6-90 UWS_PS","","06.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191106","1000","no","Jessie","1_14","JBCOLD_1","","1.89","emelia",20201109,"1_14","2012220-1","1_1_B2","","","","","","20191106_flowthrough__16S.exp.","20191106_flowthrough__18S.exp.",NA,NA
"20191107_flowthrough__18S.exp.",15,"20191107_flowthrough","20191107_flowthrough_","20191107_flowthrough_","PS122/1_6-91 UWS_PS","","07.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191107","1000","no","Jessie","1_15","JBCOLD_1","","1.84","emelia",20201109,"1_15","2012220-1","1_1_B3","","","","","","20191107_flowthrough__16S.exp.","20191107_flowthrough__18S.exp.",NA,NA
"20191108_flowthrough__18S.exp.",16,"20191108_flowthrough","20191108_flowthrough_","20191108_flowthrough_","PS122/1_6-92 UWS_PS","","08.11.2019 08:00","11 m",11,NA,NA,NA,"FT_DNA","20191108","1000","no","Jessie","1_16","JBCOLD_1","","2.15","emelia",20201109,"1_16","2012220-1","1_1_B4","","","","","","20191108_flowthrough__16S.exp.","20191108_flowthrough__18S.exp.",NA,NA
"20191104_icecore_bottom10cm__18S.exp.",17,"20191104_icecore_bottom10cm","20191104_icecore_bottom10cm_","20191104_icecore_bottom10cm_","PS122/1_6-34 SI_corer_9cm FYI20191104","","FYI core 10cm bottom","",NA,NA,NA,NA,"ICE","20191108","550","no","Jessie","1_17","JBCOLD_1","","5.1","emelia",20201109,"1_17","2012220-1","1_1_B5","","","","","","20191104_icecore_bottom10cm__16S.exp.","20191104_icecore_bottom10cm__18S.exp.",NA,NA
"20191109_CTD_25m__18S.exp.",18,"20191109_CTD_25m","20191109_CTD_25m_","20191109_CTD_25m_","PS122/1_6-79 CTD_SBE9plus_321","23","","PSW",NA,25.273,-1.7942,32.7219,"CTD","20191109","1000","no","Jessie","1_18","JBCOLD_1","","1.66","emelia",20201109,"1_18","2012220-1","1_1_B6","","","","","","20191109_CTD_25m__16S.exp.","20191109_CTD_25m__18S.exp.",NA,NA
"20191109_CTD_40m__18S.exp.",19,"20191109_CTD_40m","20191109_CTD_40m_","20191109_CTD_40m_","PS122/1_6-79 CTD_SBE9plus_321","23","","chlmax",NA,40.306,-1.7097,33.6627,"CTD","20191109","1000","no","Jessie","1_19","JBCOLD_1","","0.417","emelia",20201109,"1_19","2012220-1","1_1_B7","","","","","","20191109_CTD_40m__16S.exp.","20191109_CTD_40m__18S.exp.",NA,NA
"20191109_CTD_100m__18S.exp.",21,"20191109_CTD_100m","20191109_CTD_100m_","20191109_CTD_100m_","PS122/1_6-79 CTD_SBE9plus_321","23","","cold halocline",NA,101.068,-0.8858,34.4449,"CTD","20191109","1000","no","Jessie","1_20","JBCOLD_1","","0.133","emelia",20201109,"1_20","2012220-1","1_1_B8","","","","","","20191109_CTD_100m__16S.exp.","20191109_CTD_100m__18S.exp.",NA,NA
"20191109_CTD_150m__18S.exp.",22,"20191109_CTD_150m","20191109_CTD_150m_","20191109_CTD_150m_","PS122/1_6-79 CTD_SBE9plus_321","23","","cold halocline",NA,151.668,0.5031,34.6895,"CTD","20191109","1000","no","Jessie","1_21","JBCOLD_1","","0.53","emelia",20201109,"1_21","2012220-1","1_1_B9","","","","","","20191109_CTD_150m__16S.exp.","20191109_CTD_150m__18S.exp.",NA,NA
"20191109_CTD_320m__18S.exp.",24,"20191109_CTD_320m","20191109_CTD_320m_","20191109_CTD_320m_","PS122/1_6-79 CTD_SBE9plus_321","23","","Atlantic water",NA,323.613,1.3754,34.9079,"CTD","20191109","1000","no","Jessie","1_22","JBCOLD_1","","0.514","emelia",20201109,"1_22","2012220-1","1_1_B10","","","","","","20191109_CTD_320m__16S.exp.","20191109_CTD_320m__18S.exp.",NA,NA
"20191109_CTD_500m__18S.exp.",26,"20191109_CTD_500m","20191109_CTD_500m_","20191109_CTD_500m_","PS122/1_6-79 CTD_SBE9plus_321","23","","deep Arctic",NA,506.429,0.8273,34.9013,"CTD","20191110","1000","no","Jessie","1_23","JBCOLD_1","filtered from room temp (20C) ambient CH4 bag after 1 day","0.696","emelia",20201109,"1_23","2012220-1","1_1_B11","needs to be resequenced due to bad library build"," A21604-1","20191109_CTD_500m_","1_1_A9","","20191109_CTD_500m__16S.exp.","20191109_CTD_500m__18S.exp.",NA,"B"
"20191110_flowthrough__18S.exp.",27,"20191110_flowthrough","20191110_flowthrough_","20191110_flowthrough_","PS122/1_6-94 UWS_PS","","10.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191110","1000","no","Jessie","1_24","JBCOLD_1","","0.778","emelia",20201109,"1_24","2012220-1","1_1_B12","","","","","","20191110_flowthrough__16S.exp.","20191110_flowthrough__18S.exp.",NA,NA
"20191111_flowthrough__18S.exp.",28,"20191111_flowthrough","20191111_flowthrough_","20191111_flowthrough_","PS122/1_7-115 UWS_PS","","11.11.2019 10:00","11 m",11,NA,NA,NA,"FT_DNA","20191111","1000","no","Jessie","1_25","JBCOLD_1","","2.46","emelia",20201109,"1_25","2012220-1","1_1_C1","","","","","","20191111_flowthrough__16S.exp.","20191111_flowthrough__18S.exp.",NA,NA
"20191111_coring_FYI_bottom10cm__18S.exp.",29,"20191111_coring_FYI_bottom10cm","20191111_coring_FYI_bottom10cm_","20191111_coring_FYI_bottom10cm_","PS122/1_7-6 SI_corer_9cm FYI20191111","","FYI core 10cm bottom","",NA,NA,NA,NA,"ICE","20191112","500","no","Jessie","1_26","JBCOLD_1","","0.604","emelia",20201109,"1_26","2012220-1","1_1_C2","","","","","","20191111_coring_FYI_bottom10cm__16S.exp.","20191111_coring_FYI_bottom10cm__18S.exp.",NA,NA
"20191112_flowthrough__18S.exp.",30,"20191112_flowthrough","20191112_flowthrough_","20191112_flowthrough_","PS122/1_7-116 UWS_PS","","12.11.2019 10:00","11 m",11,NA,NA,NA,"FT_DNA","20191112","1000","no","Jessie","1_27","JBCOLD_1","a lot of little copepods on filter!","9.49","emelia",20201109,"1_27","2012220-1","1_1_C3","","","","","","20191112_flowthrough__16S.exp.","20191112_flowthrough__18S.exp.",NA,NA
"20191113_flowthrough__18S.exp.",31,"20191113_flowthrough","20191113_flowthrough_","20191113_flowthrough_","PS122/1_7-117 UWS_PS","","13.11.2019 13:00","11 m",11,NA,NA,NA,"FT_DNA","20191113","1000","no","Jessie","1_28","JBCOLD_1","","1.82","emelia",20201109,"1_28","2012220-1","1_1_C4","","","","","","20191113_flowthrough__16S.exp.","20191113_flowthrough__18S.exp.",NA,NA
"20191114_flowthrough__18S.exp.",32,"20191114_flowthrough","20191114_flowthrough_","20191114_flowthrough_","PS122/1_7-118 UWS_PS","","14.11.2019 12:00","11 m",11,NA,NA,NA,"FT_DNA","20191114","1000","no","Jessie","1_29","JBCOLD_1","","1.15","emelia",20201109,"1_29","2012220-1","1_1_C5","","","","","","20191114_flowthrough__16S.exp.","20191114_flowthrough__18S.exp.",NA,NA
"20191115_CTD_500m__18S.exp.",33,"20191115_CTD_500m","20191115_CTD_500m_","20191115_CTD_500m_","PS122/1_7-80 CTD_SBE9plus_321","1","","cold halocline",NA,506.411,0.9183,34.9035,"CTD","20191115","1000","no","Jessie","1_30","JBCOLD_1","","0.344","emelia",20201109,"1_30","2012220-1","1_1_C6","","","","","","20191115_CTD_500m__16S.exp.","20191115_CTD_500m__18S.exp.",NA,NA
"20191115_CTD_AW__18S.exp.",34,"20191115_CTD_AW","20191115_CTD_AW_","20191115_CTD_AW_","PS122/1_7-80 CTD_SBE9plus_321","4","","Atlantic water",NA,242.659,1.349,34.8782,"CTD","20191115","1000","no","Jessie","1_31","JBCOLD_1","","0.552","emelia",20201109,"1_31","2012220-1","1_1_C7","","","","","","20191115_CTD_AW__16S.exp.","20191115_CTD_AW__18S.exp.",NA,NA
"20191115_CTD_150m__18S.exp.",36,"20191115_CTD_150m","20191115_CTD_150m_","20191115_CTD_150m_","PS122/1_7-80 CTD_SBE9plus_321","6","","cold halocline",NA,151.683,0.8854,34.7387,"CTD","20191115","1000","no","Jessie","1_32","JBCOLD_1","","0.657","emelia",20201109,"1_32","2012220-1","1_1_C8","","","","","","20191115_CTD_150m__16S.exp.","20191115_CTD_150m__18S.exp.",NA,NA
"20191115_CTD_100m__18S.exp.",38,"20191115_CTD_100m","20191115_CTD_100m_","20191115_CTD_100m_","PS122/1_7-80 CTD_SBE9plus_321","7","","cold halocline",NA,100.952,-0.7389,34.4666,"CTD","20191115","1000","no","Jessie","1_33","JBCOLD_1","","0.992","emelia",20201109,"1_33","2012220-1","1_1_C9","","","","","","20191115_CTD_100m__16S.exp.","20191115_CTD_100m__18S.exp.",NA,NA
"20191115_CTD_chlmax__18S.exp.",39,"20191115_CTD_chlmax","20191115_CTD_chlmax_","20191115_CTD_chlmax_","PS122/1_7-80 CTD_SBE9plus_321","21","","chlmax",NA,20.101,-1.7788,32.4019,"CTD","20191115","1000","no","Jessie","1_34","JBCOLD_1","","1.39","emelia",20201109,"1_34","2012220-1","1_1_C10","","","","","","20191115_CTD_chlmax__16S.exp.","20191115_CTD_chlmax__18S.exp.",NA,NA
"20191115_CTD_PSW__18S.exp.",41,"20191115_CTD_PSW","20191115_CTD_PSW_","20191115_CTD_PSW_","PS122/1_7-80 CTD_SBE9plus_321","23","","PSW",NA,1.924,-1.7648,32.3177,"CTD","20191115","1000","no","Jessie","1_35","JBCOLD_1","","2.01","emelia",20201109,"1_35","2012220-1","1_1_C11","","","","","","20191115_CTD_PSW__16S.exp.","20191115_CTD_PSW__18S.exp.",NA,NA
"20191115_flowthrough__18S.exp.",42,"20191115_flowthrough","20191115_flowthrough_","20191115_flowthrough_","PS122/1_7-119 UWS_PS","","15.11.2019 08:20","11 m",11,NA,NA,NA,"FT_DNA","20191116","1000","no","Jessie","1_36","JBCOLD_1","","2","emelia",20201109,"1_36","2012220-1","1_1_C12","","","","","","20191115_flowthrough__16S.exp.","20191115_flowthrough__18S.exp.",NA,NA
"20191116_flowthrough__18S.exp.",43,"20191116_flowthrough","20191116_flowthrough_","20191116_flowthrough_","PS122/1_7-132 UWS_PS","","16.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191116","1000","no","Jessie","1_37","JBCOLD_1","","3.17","emelia",20201109,"1_37","2012220-1","1_1_D1","","","","","","20191116_flowthrough__16S.exp.","20191116_flowthrough__18S.exp.",NA,NA
"20191118_flowthrough__18S.exp.",44,"20191118_flowthrough","20191118_flowthrough_","20191118_flowthrough_","PS122/1_8-89 UWS_PS","","18.11.2019 10:00","11 m",11,NA,NA,NA,"FT_DNA","20191118","1000","no","Jessie","1_38","JBCOLD_1","","1.75","emelia",20201109,"1_38","2012220-1","1_1_D2","","","","","","20191118_flowthrough__16S.exp.","20191118_flowthrough__18S.exp.",NA,NA
"20191119_flowthrough__18S.exp.",45,"20191119_flowthrough","20191119_flowthrough_","20191119_flowthrough_","PS122/1_8-90 UWS_PS","","19.11.2019 12:00","11 m",11,NA,NA,NA,"FT_DNA","20191119","1000","no","Jessie","1_39","JBCOLD_1","","1.17","emelia",20201109,"1_39","2012220-1","1_1_D3","","","","","","20191119_flowthrough__16S.exp.","20191119_flowthrough__18S.exp.",NA,NA
"20191120_flowthrough__18S.exp.",46,"20191120_flowthrough","20191120_flowthrough_","20191120_flowthrough_","PS122/1_8-91 UWS_PS","","20.11.2019 10:30","11 m",11,NA,NA,NA,"FT_DNA","20191120","1000","no","Jessie","1_40","JBCOLD_1","","1.47","emelia",20201109,"1_40","2012220-1","1_1_D4","","","","","","20191120_flowthrough__16S.exp.","20191120_flowthrough__18S.exp.",NA,NA
"20191121_flowthrough__18S.exp.",47,"20191121_flowthrough","20191121_flowthrough_","20191121_flowthrough_","PS122/1_8-92 UWS_PS","","21.11.2019 11:00","11 m",11,NA,NA,NA,"FT_DNA","20191121","1000","no","Jessie","1_41","JBCOLD_1","","0.849","emelia",20201109,"1_41","2012220-1","1_1_D5","","","","","","20191121_flowthrough__16S.exp.","20191121_flowthrough__18S.exp.",NA,NA
"20191122_CTD_PSW__18S.exp.",48,"20191122_CTD_PSW","20191122_CTD_PSW_","20191122_CTD_PSW_","PS122/1_8-71 CTD_SBE9plus_321","23","","PSW",NA,10.017,-1.7892,32.3177,"CTD","20191122","1000","no","Jessie","1_42","JBCOLD_1","","0.938","emelia",20201109,"1_42","2012220-1","1_1_D6","","","","","","20191122_CTD_PSW__16S.exp.","20191122_CTD_PSW__18S.exp.",NA,NA
"20191122_CTD_chlmax__18S.exp.",49,"20191122_CTD_chlmax","20191122_CTD_chlmax_","20191122_CTD_chlmax_","PS122/1_8-71 CTD_SBE9plus_321","21","","chlmax",NA,50.377,-1.7701,32.7072,"CTD","20191122","1000","no","Jessie","1_43","JBCOLD_1","","0.875","emelia",20201109,"1_43","2012220-1","1_1_D7","","","","","","20191122_CTD_chlmax__16S.exp.","20191122_CTD_chlmax__18S.exp.",NA,NA
"20191122_CTD_100m__18S.exp.",50,"20191122_CTD_100m","20191122_CTD_100m_","20191122_CTD_100m_","PS122/1_8-71 CTD_SBE9plus_321","19","","100m",NA,101.078,-0.7437,34.1524,"CTD","20191122","1000","no","Jessie","1_44","JBCOLD_1","","TOO LOW","emelia",20201109,"1_44","2012220-1","1_1_D8","","","","","","20191122_CTD_100m__16S.exp.","20191122_CTD_100m__18S.exp.",NA,NA
"20191122_CTD_150m__18S.exp.",51,"20191122_CTD_150m","20191122_CTD_150m_","20191122_CTD_150m_","PS122/1_8-71 CTD_SBE9plus_321","18","","150m",NA,151.653,0.7571,34.4671,"CTD","20191122","1000","no","Jessie","1_45","JBCOLD_1","","0.621","emelia",20201109,"1_45","2012220-1","1_1_D9","","","","","","20191122_CTD_150m__16S.exp.","20191122_CTD_150m__18S.exp.",NA,NA
"20191122_CTD_AW__18S.exp.",52,"20191122_CTD_AW","20191122_CTD_AW_","20191122_CTD_AW_","PS122/1_8-71 CTD_SBE9plus_321","4","","AW",NA,333.715,1.4159,34.7187,"CTD","20191122","1000","no","Jessie","1_46","JBCOLD_1","","0.429","emelia",20201109,"1_46","2012220-1","1_1_D10","","","","","","20191122_CTD_AW__16S.exp.","20191122_CTD_AW__18S.exp.",NA,NA
"20191122_CTD_500m__18S.exp.",53,"20191122_CTD_500m","20191122_CTD_500m_","20191122_CTD_500m_","PS122/1_8-71 CTD_SBE9plus_321","1","","500m",NA,506.18,0.9852,34.9125,"CTD","20191122","1000","no","Jessie","1_47","JBCOLD_1","","0.514","emelia",20201109,"1_47","2012220-1","1_1_D11","","","","","","20191122_CTD_500m__16S.exp.","20191122_CTD_500m__18S.exp.",NA,NA
"20191122_flowthrough__18S.exp.",57,"20191122_flowthrough","20191122_flowthrough_","20191122_flowthrough_","PS122/1_8-93 UWS_PS","","22.11.2019 06:00","11 m",11,NA,NA,NA,"FT_DNA","20191122","1000","no","Jessie","1_48","JBCOLD_1","","2.57","emelia",20201109,"1_48","2012220-1","1_1_D12","","","","","","20191122_flowthrough__16S.exp.","20191122_flowthrough__18S.exp.",NA,NA
"20191124_flowthrough__18S.exp.",58,"20191124_flowthrough","20191124_flowthrough_","20191124_flowthrough_","PS122/1_8-127 UWS_PS","","24.11.2019 07:30","11 m",11,NA,NA,NA,"FT_DNA","20191124","1000","no","Jessie","1_49","JBCOLD_1","","0.798","emelia",20201109,"1_49","2012220-1","1_1_E1","","","","","","20191124_flowthrough__16S.exp.","20191124_flowthrough__18S.exp.",NA,NA
"20191125_flowthrough__18S.exp.",59,"20191125_flowthrough","20191125_flowthrough_","20191125_flowthrough_","PS122/1_9-82 UWS_PS","","25.11.2019 11:45","11 m",11,NA,NA,NA,"FT_DNA","20191125","1000","no","Jessie","1_50","JBCOLD_1","","1.53","emelia",20201109,"1_50","2012220-1","1_1_E2","","","","","","20191125_flowthrough__16S.exp.","20191125_flowthrough__18S.exp.",NA,NA
"20191126_flowthrough__18S.exp.",60,"20191126_flowthrough","20191126_flowthrough_","20191126_flowthrough_","PS122/1_9-83 UWS_PS","","26.11.2019 12:00","11 m",11,NA,NA,NA,"FT_DNA","20191126","1000","no","Jessie","1_51","JBCOLD_1","","1.19","emelia",20201109,"1_51","2012220-1","1_1_E3","","","","","","20191126_flowthrough__16S.exp.","20191126_flowthrough__18S.exp.",NA,NA
"20191127_flowthrough__18S.exp.",61,"20191127_flowthrough","20191127_flowthrough_","20191127_flowthrough_","PS122/1_9-84 UWS_PS","","27.11.2019 12:00","11 m",11,NA,NA,NA,"FT_DNA","20191127","1000","no","Jessie","1_52","JBCOLD_1","","0.892","emelia",20201109,"1_52","2012220-1","1_1_E4","","","","","","20191127_flowthrough__16S.exp.","20191127_flowthrough__18S.exp.",NA,NA
"20191128_flowthrough__18S.exp.",62,"20191128_flowthrough","20191128_flowthrough_","20191128_flowthrough_","PS122/1_9-85 UWS_PS","","28.11.2019 14:00","11 m",11,NA,NA,NA,"FT_DNA","20191128","1000","no","Jessie","1_53","JBCOLD_1","","0.427","emelia",20201109,"1_53","2012220-1","1_1_E5","","","","","","20191128_flowthrough__16S.exp.","20191128_flowthrough__18S.exp.",NA,NA
"20191129_CTD_PSW__18S.exp.",63,"20191129_CTD_PSW","20191129_CTD_PSW_","20191129_CTD_PSW_","PS122/1_9-61 CTD_SBE9plus_321","23","","PSW",NA,5.024,-1.7885,32.61,"CTD","20191129","1000","no","Jessie","1_54","JBCOLD_1","","1.04","emelia",20201109,"1_54","2012220-1","1_1_E6","","","","","","20191129_CTD_PSW__16S.exp.","20191129_CTD_PSW__18S.exp.",NA,NA
"20191129_CTD_chlmax__18S.exp.",64,"20191129_CTD_chlmax","20191129_CTD_chlmax_","20191129_CTD_chlmax_","PS122/1_9-61 CTD_SBE9plus_321","22","","chlmax",NA,19.988,-1.7868,32.6344,"CTD","20191129","1000","no","Jessie","1_55","JBCOLD_1","","0.668","emelia",20201109,"1_55","2012220-1","1_1_E7","","","","","","20191129_CTD_chlmax__16S.exp.","20191129_CTD_chlmax__18S.exp.",NA,NA
"20191129_CTD_100m__18S.exp.",65,"20191129_CTD_100m","20191129_CTD_100m_","20191129_CTD_100m_","PS122/1_9-61 CTD_SBE9plus_321","7","","100m",NA,101.022,-1.0164,34.43,"CTD","20191129","1000","no","Jessie","1_56","JBCOLD_1","","0.707","emelia",20201109,"1_56","2012220-1","1_1_E8","","","","","","20191129_CTD_100m__16S.exp.","20191129_CTD_100m__18S.exp.",NA,NA
"20191129_CTD_150m__18S.exp.",66,"20191129_CTD_150m","20191129_CTD_150m_","20191129_CTD_150m_","PS122/1_9-61 CTD_SBE9plus_321","6","","150m",NA,151.457,0.3482,34.6639,"CTD","20191129","1000","no","Jessie","1_57","JBCOLD_1","","0.593","emelia",20201109,"1_57","2012220-1","1_1_E9","","","","","","20191129_CTD_150m__16S.exp.","20191129_CTD_150m__18S.exp.",NA,NA
"20191129_CTD_Tmax__18S.exp.",67,"20191129_CTD_Tmax","20191129_CTD_Tmax_","20191129_CTD_Tmax_","PS122/1_9-61 CTD_SBE9plus_321","3","","Tmax",NA,323.806,1.3928,34.9103,"CTD","20191129","1000","no","Jessie","1_58","JBCOLD_1","","0.386","emelia",20201109,"1_58","2012220-1","1_1_E10","","","","","","20191129_CTD_Tmax__16S.exp.","20191129_CTD_Tmax__18S.exp.",NA,NA
"20191129_CTD_500m__18S.exp.",68,"20191129_CTD_500m","20191129_CTD_500m_","20191129_CTD_500m_","PS122/1_9-61 CTD_SBE9plus_321","2","","500m",NA,506.315,0.8225,34.9013,"CTD","20191129","1000","no","Jessie","1_59","JBCOLD_1","","0.358","emelia",20201109,"1_59","2012220-1","1_1_E11","","","","","","20191129_CTD_500m__16S.exp.","20191129_CTD_500m__18S.exp.",NA,NA
"20191129_flowthrough__18S.exp.",72,"20191129_flowthrough","20191129_flowthrough_","20191129_flowthrough_","PS122/1_9-86 UWS_PS","","29.11.2019 09:00","11 m",11,NA,NA,NA,"FT_DNA","20191129","1000","no","Jessie","1_60","JBCOLD_1","","0.662","emelia",20201109,"1_60","2012220-1","1_1_E12","","","","","","20191129_flowthrough__16S.exp.","20191129_flowthrough__18S.exp.",NA,NA
"20191130_flowthrough__18S.exp.",73,"20191130_flowthrough","20191130_flowthrough_","20191130_flowthrough_","PS122/1_9-112 UWS_PS","","30.11.2019 12:00","11 m",11,NA,NA,NA,"FT_DNA","20191130","1000","no","Jessie","1_61","JBCOLD_1","","0.498","emelia",20201109,"1_61","2012220-1","1_1_F1","","","","","","20191130_flowthrough__16S.exp.","20191130_flowthrough__18S.exp.",NA,NA
"20191202_flowthrough__18S.exp.",74,"20191202_flowthrough","20191202_flowthrough_","20191202_flowthrough_","PS122/1_10-84 UWS_PS","","02.12.2019 12:00","11 m",11,NA,NA,NA,"FT_DNA","20191202","1000","no","Jessie","1_62","JBCOLD_1","","0.557","emelia",20201109,"1_62","2012220-1","1_1_F2","","","","","","20191202_flowthrough__16S.exp.","20191202_flowthrough__18S.exp.",NA,NA
"20191203_flowthrough__18S.exp.",75,"20191203_flowthrough","20191203_flowthrough_","20191203_flowthrough_","PS122/1_10-85 UWS_PS","","03.12.2019 14:30","11 m",11,NA,NA,NA,"FT_DNA","20191203","1000","no","Jessie","1_63","JBCOLD_1","","0.846","emelia",20201109,"1_63","2012220-1","1_1_F3","","","","","","20191203_flowthrough__16S.exp.","20191203_flowthrough__18S.exp.",NA,NA
